lr;epoch;iteration;global_iteration
7.44047619047619e-08;0;1;1
1.488095238095238e-07;0;2;2
2.232142857142857e-07;0;3;3
2.976190476190476e-07;0;4;4
3.7202380952380953e-07;0;5;5
4.464285714285714e-07;0;6;6
5.208333333333334e-07;0;7;7
5.952380952380952e-07;0;8;8
6.696428571428571e-07;0;9;9
7.440476190476191e-07;0;10;10
8.18452380952381e-07;0;11;11
8.928571428571428e-07;0;12;12
9.672619047619048e-07;0;13;13
1.0416666666666667e-06;0;14;14
1.1160714285714287e-06;0;15;15
1.1904761904761904e-06;0;16;16
1.2648809523809525e-06;0;17;17
1.3392857142857143e-06;0;18;18
1.4136904761904762e-06;0;19;19
1.4880952380952381e-06;0;20;20
1.5625e-06;0;21;21
1.636904761904762e-06;0;22;22
1.711309523809524e-06;0;23;23
1.7857142857142857e-06;0;24;24
1.8601190476190476e-06;0;25;25
1.9345238095238096e-06;0;26;26
2.0089285714285715e-06;0;27;27
2.0833333333333334e-06;0;28;28
2.1577380952380954e-06;0;29;29
2.2321428571428573e-06;0;30;30
2.3065476190476192e-06;0;31;31
2.3809523809523808e-06;0;32;32
2.455357142857143e-06;0;33;33
2.529761904761905e-06;0;34;34
2.604166666666667e-06;0;35;35
2.6785714285714285e-06;0;36;36
2.7529761904761905e-06;0;37;37
2.8273809523809524e-06;0;38;38
2.9017857142857143e-06;0;39;39
2.9761904761904763e-06;0;40;40
3.050595238095238e-06;0;41;41
3.125e-06;0;42;42
3.1994047619047617e-06;0;43;43
3.273809523809524e-06;0;44;44
3.348214285714286e-06;0;45;45
3.422619047619048e-06;0;46;46
3.49702380952381e-06;0;47;47
3.5714285714285714e-06;0;48;48
3.6458333333333337e-06;0;49;49
3.7202380952380952e-06;0;50;50
3.794642857142857e-06;0;51;51
3.869047619047619e-06;0;52;52
3.943452380952381e-06;0;53;53
4.017857142857143e-06;0;54;54
4.092261904761905e-06;0;55;55
4.166666666666667e-06;0;56;56
4.241071428571429e-06;1;1;57
4.315476190476191e-06;1;2;58
4.389880952380953e-06;1;3;59
4.464285714285715e-06;1;4;60
4.5386904761904766e-06;1;5;61
4.6130952380952385e-06;1;6;62
4.6875000000000004e-06;1;7;63
4.7619047619047615e-06;1;8;64
4.836309523809524e-06;1;9;65
4.910714285714286e-06;1;10;66
4.985119047619048e-06;1;11;67
5.05952380952381e-06;1;12;68
5.133928571428571e-06;1;13;69
5.208333333333334e-06;1;14;70
5.282738095238095e-06;1;15;71
5.357142857142857e-06;1;16;72
5.43154761904762e-06;1;17;73
5.505952380952381e-06;1;18;74
5.580357142857144e-06;1;19;75
5.654761904761905e-06;1;20;76
5.729166666666667e-06;1;21;77
5.803571428571429e-06;1;22;78
5.877976190476191e-06;1;23;79
5.9523809523809525e-06;1;24;80
6.0267857142857145e-06;1;25;81
6.101190476190476e-06;1;26;82
6.175595238095238e-06;1;27;83
6.25e-06;1;28;84
6.324404761904762e-06;1;29;85
6.398809523809523e-06;1;30;86
6.473214285714287e-06;1;31;87
6.547619047619048e-06;1;32;88
6.62202380952381e-06;1;33;89
6.696428571428572e-06;1;34;90
6.770833333333333e-06;1;35;91
6.845238095238096e-06;1;36;92
6.919642857142858e-06;1;37;93
6.99404761904762e-06;1;38;94
7.068452380952381e-06;1;39;95
7.142857142857143e-06;1;40;96
7.217261904761905e-06;1;41;97
7.2916666666666674e-06;1;42;98
7.366071428571429e-06;1;43;99
7.4404761904761905e-06;1;44;100
7.514880952380952e-06;1;45;101
7.589285714285714e-06;1;46;102
7.663690476190476e-06;1;47;103
7.738095238095238e-06;1;48;104
7.8125e-06;1;49;105
7.886904761904762e-06;1;50;106
7.961309523809524e-06;1;51;107
8.035714285714286e-06;1;52;108
8.110119047619048e-06;1;53;109
8.18452380952381e-06;1;54;110
8.258928571428572e-06;1;55;111
8.333333333333334e-06;1;56;112
8.407738095238096e-06;2;1;113
8.482142857142858e-06;2;2;114
8.55654761904762e-06;2;3;115
8.630952380952381e-06;2;4;116
8.705357142857143e-06;2;5;117
8.779761904761905e-06;2;6;118
8.854166666666667e-06;2;7;119
8.92857142857143e-06;2;8;120
9.002976190476191e-06;2;9;121
9.077380952380953e-06;2;10;122
9.151785714285713e-06;2;11;123
9.226190476190477e-06;2;12;124
9.300595238095239e-06;2;13;125
9.375000000000001e-06;2;14;126
9.449404761904763e-06;2;15;127
9.523809523809523e-06;2;16;128
9.598214285714287e-06;2;17;129
9.672619047619049e-06;2;18;130
9.74702380952381e-06;2;19;131
9.821428571428573e-06;2;20;132
9.895833333333333e-06;2;21;133
9.970238095238096e-06;2;22;134
1.0044642857142858e-05;2;23;135
1.011904761904762e-05;2;24;136
1.019345238095238e-05;2;25;137
1.0267857142857142e-05;2;26;138
1.0342261904761904e-05;2;27;139
1.0416666666666668e-05;2;28;140
1.049107142857143e-05;2;29;141
1.056547619047619e-05;2;30;142
1.0639880952380952e-05;2;31;143
1.0714285714285714e-05;2;32;144
1.0788690476190478e-05;2;33;145
1.086309523809524e-05;2;34;146
1.09375e-05;2;35;147
1.1011904761904762e-05;2;36;148
1.1086309523809524e-05;2;37;149
1.1160714285714287e-05;2;38;150
1.1235119047619048e-05;2;39;151
1.130952380952381e-05;2;40;152
1.1383928571428572e-05;2;41;153
1.1458333333333333e-05;2;42;154
1.1532738095238097e-05;2;43;155
1.1607142857142857e-05;2;44;156
1.168154761904762e-05;2;45;157
1.1755952380952381e-05;2;46;158
1.1830357142857143e-05;2;47;159
1.1904761904761905e-05;2;48;160
1.1979166666666667e-05;2;49;161
1.2053571428571429e-05;2;50;162
1.2127976190476191e-05;2;51;163
1.2202380952380953e-05;2;52;164
1.2276785714285715e-05;2;53;165
1.2351190476190477e-05;2;54;166
1.2425595238095239e-05;2;55;167
1.25e-05;2;56;168
1.2574404761904763e-05;3;1;169
1.2648809523809524e-05;3;2;170
1.2723214285714285e-05;3;3;171
1.2797619047619047e-05;3;4;172
1.2872023809523809e-05;3;5;173
1.2946428571428574e-05;3;6;174
1.3020833333333334e-05;3;7;175
1.3095238095238096e-05;3;8;176
1.3169642857142858e-05;3;9;177
1.324404761904762e-05;3;10;178
1.3318452380952382e-05;3;11;179
1.3392857142857144e-05;3;12;180
1.3467261904761904e-05;3;13;181
1.3541666666666666e-05;3;14;182
1.3616071428571428e-05;3;15;183
1.3690476190476192e-05;3;16;184
1.3764880952380954e-05;3;17;185
1.3839285714285715e-05;3;18;186
1.3913690476190477e-05;3;19;187
1.398809523809524e-05;3;20;188
1.4062500000000001e-05;3;21;189
1.4136904761904762e-05;3;22;190
1.4211309523809523e-05;3;23;191
1.4285714285714285e-05;3;24;192
1.4360119047619047e-05;3;25;193
1.443452380952381e-05;3;26;194
1.4508928571428573e-05;3;27;195
1.4583333333333335e-05;3;28;196
1.4657738095238097e-05;3;29;197
1.4732142857142859e-05;3;30;198
1.480654761904762e-05;3;31;199
1.4880952380952381e-05;3;32;200
1.4955357142857143e-05;3;33;201
1.5029761904761905e-05;3;34;202
1.5104166666666667e-05;3;35;203
1.5178571428571429e-05;3;36;204
1.5252976190476192e-05;3;37;205
1.5327380952380953e-05;3;38;206
1.5401785714285715e-05;3;39;207
1.5476190476190476e-05;3;40;208
1.555059523809524e-05;3;41;209
1.5625e-05;3;42;210
1.5699404761904762e-05;3;43;211
1.5773809523809524e-05;3;44;212
1.5848214285714286e-05;3;45;213
1.5922619047619048e-05;3;46;214
1.599702380952381e-05;3;47;215
1.6071428571428572e-05;3;48;216
1.6145833333333334e-05;3;49;217
1.6220238095238096e-05;3;50;218
1.6294642857142858e-05;3;51;219
1.636904761904762e-05;3;52;220
1.644345238095238e-05;3;53;221
1.6517857142857144e-05;3;54;222
1.6592261904761906e-05;3;55;223
1.6666666666666667e-05;3;56;224
1.674107142857143e-05;4;1;225
1.681547619047619e-05;4;2;226
1.6889880952380953e-05;4;3;227
1.6964285714285715e-05;4;4;228
1.7038690476190477e-05;4;5;229
1.711309523809524e-05;4;6;230
1.71875e-05;4;7;231
1.7261904761904763e-05;4;8;232
1.7336309523809525e-05;4;9;233
1.7410714285714287e-05;4;10;234
1.748511904761905e-05;4;11;235
1.755952380952381e-05;4;12;236
1.7633928571428573e-05;4;13;237
1.7708333333333335e-05;4;14;238
1.7782738095238097e-05;4;15;239
1.785714285714286e-05;4;16;240
1.793154761904762e-05;4;17;241
1.8005952380952382e-05;4;18;242
1.8080357142857144e-05;4;19;243
1.8154761904761906e-05;4;20;244
1.8229166666666668e-05;4;21;245
1.8303571428571427e-05;4;22;246
1.8377976190476192e-05;4;23;247
1.8452380952380954e-05;4;24;248
1.8526785714285716e-05;4;25;249
1.8601190476190478e-05;4;26;250
1.867559523809524e-05;4;27;251
1.8750000000000002e-05;4;28;252
1.8824404761904764e-05;4;29;253
1.8898809523809526e-05;4;30;254
1.8973214285714284e-05;4;31;255
1.9047619047619046e-05;4;32;256
1.9122023809523808e-05;4;33;257
1.9196428571428573e-05;4;34;258
1.9270833333333335e-05;4;35;259
1.9345238095238097e-05;4;36;260
1.941964285714286e-05;4;37;261
1.949404761904762e-05;4;38;262
1.9568452380952383e-05;4;39;263
1.9642857142857145e-05;4;40;264
1.9717261904761904e-05;4;41;265
1.9791666666666665e-05;4;42;266
1.9866071428571427e-05;4;43;267
1.9940476190476193e-05;4;44;268
2.0014880952380955e-05;4;45;269
2.0089285714285717e-05;4;46;270
2.016369047619048e-05;4;47;271
2.023809523809524e-05;4;48;272
2.0312500000000002e-05;4;49;273
2.038690476190476e-05;4;50;274
2.0461309523809523e-05;4;51;275
2.0535714285714285e-05;4;52;276
2.0610119047619047e-05;4;53;277
2.068452380952381e-05;4;54;278
2.0758928571428574e-05;4;55;279
2.0833333333333336e-05;4;56;280
2.0907738095238098e-05;5;1;281
2.098214285714286e-05;5;2;282
2.1056547619047622e-05;5;3;283
2.113095238095238e-05;5;4;284
2.1205357142857142e-05;5;5;285
2.1279761904761904e-05;5;6;286
2.1354166666666666e-05;5;7;287
2.1428571428571428e-05;5;8;288
2.1502976190476193e-05;5;9;289
2.1577380952380955e-05;5;10;290
2.1651785714285717e-05;5;11;291
2.172619047619048e-05;5;12;292
2.1800595238095238e-05;5;13;293
2.1875e-05;5;14;294
2.1949404761904762e-05;5;15;295
2.2023809523809524e-05;5;16;296
2.2098214285714286e-05;5;17;297
2.2172619047619048e-05;5;18;298
2.224702380952381e-05;5;19;299
2.2321428571428575e-05;5;20;300
2.2395833333333337e-05;5;21;301
2.2470238095238095e-05;5;22;302
2.2544642857142857e-05;5;23;303
2.261904761904762e-05;5;24;304
2.269345238095238e-05;5;25;305
2.2767857142857143e-05;5;26;306
2.2842261904761905e-05;5;27;307
2.2916666666666667e-05;5;28;308
2.299107142857143e-05;5;29;309
2.3065476190476194e-05;5;30;310
2.3139880952380956e-05;5;31;311
2.3214285714285715e-05;5;32;312
2.3288690476190477e-05;5;33;313
2.336309523809524e-05;5;34;314
2.34375e-05;5;35;315
2.3511904761904762e-05;5;36;316
2.3586309523809524e-05;5;37;317
2.3660714285714286e-05;5;38;318
2.3735119047619048e-05;5;39;319
2.380952380952381e-05;5;40;320
2.3883928571428572e-05;5;41;321
2.3958333333333334e-05;5;42;322
2.4032738095238096e-05;5;43;323
2.4107142857142858e-05;5;44;324
2.418154761904762e-05;5;45;325
2.4255952380952382e-05;5;46;326
2.4330357142857144e-05;5;47;327
2.4404761904761906e-05;5;48;328
2.4479166666666668e-05;5;49;329
2.455357142857143e-05;5;50;330
2.462797619047619e-05;5;51;331
2.4702380952380953e-05;5;52;332
2.4776785714285715e-05;5;53;333
2.4851190476190477e-05;5;54;334
2.492559523809524e-05;5;55;335
2.5e-05;5;56;336
2.5074404761904763e-05;6;1;337
2.5148809523809525e-05;6;2;338
2.5223214285714287e-05;6;3;339
2.529761904761905e-05;6;4;340
2.537202380952381e-05;6;5;341
2.544642857142857e-05;6;6;342
2.552083333333333e-05;6;7;343
2.5595238095238093e-05;6;8;344
2.5669642857142855e-05;6;9;345
2.5744047619047617e-05;6;10;346
2.5818452380952386e-05;6;11;347
2.5892857142857148e-05;6;12;348
2.596726190476191e-05;6;13;349
2.604166666666667e-05;6;14;350
2.611607142857143e-05;6;15;351
2.6190476190476192e-05;6;16;352
2.6264880952380954e-05;6;17;353
2.6339285714285716e-05;6;18;354
2.6413690476190478e-05;6;19;355
2.648809523809524e-05;6;20;356
2.6562500000000002e-05;6;21;357
2.6636904761904764e-05;6;22;358
2.6711309523809526e-05;6;23;359
2.6785714285714288e-05;6;24;360
2.6860119047619046e-05;6;25;361
2.6934523809523808e-05;6;26;362
2.700892857142857e-05;6;27;363
2.7083333333333332e-05;6;28;364
2.7157738095238094e-05;6;29;365
2.7232142857142856e-05;6;30;366
2.7306547619047618e-05;6;31;367
2.7380952380952383e-05;6;32;368
2.7455357142857145e-05;6;33;369
2.7529761904761907e-05;6;34;370
2.760416666666667e-05;6;35;371
2.767857142857143e-05;6;36;372
2.7752976190476193e-05;6;37;373
2.7827380952380955e-05;6;38;374
2.7901785714285717e-05;6;39;375
2.797619047619048e-05;6;40;376
2.805059523809524e-05;6;41;377
2.8125000000000003e-05;6;42;378
2.8199404761904765e-05;6;43;379
2.8273809523809523e-05;6;44;380
2.8348214285714285e-05;6;45;381
2.8422619047619047e-05;6;46;382
2.849702380952381e-05;6;47;383
2.857142857142857e-05;6;48;384
2.8645833333333333e-05;6;49;385
2.8720238095238095e-05;6;50;386
2.8794642857142857e-05;6;51;387
2.886904761904762e-05;6;52;388
2.8943452380952384e-05;6;53;389
2.9017857142857146e-05;6;54;390
2.9092261904761908e-05;6;55;391
2.916666666666667e-05;6;56;392
2.9241071428571432e-05;7;1;393
2.9315476190476194e-05;7;2;394
2.9389880952380956e-05;7;3;395
2.9464285714285718e-05;7;4;396
2.953869047619048e-05;7;5;397
2.961309523809524e-05;7;6;398
2.96875e-05;7;7;399
2.9761904761904762e-05;7;8;400
2.9836309523809524e-05;7;9;401
2.9910714285714286e-05;7;10;402
2.9985119047619048e-05;7;11;403
3.005952380952381e-05;7;12;404
3.013392857142857e-05;7;13;405
3.0208333333333334e-05;7;14;406
3.0282738095238095e-05;7;15;407
3.0357142857142857e-05;7;16;408
3.043154761904762e-05;7;17;409
3.0505952380952385e-05;7;18;410
3.0580357142857147e-05;7;19;411
3.0654761904761905e-05;7;20;412
3.072916666666667e-05;7;21;413
3.080357142857143e-05;7;22;414
3.0877976190476194e-05;7;23;415
3.095238095238095e-05;7;24;416
3.102678571428572e-05;7;25;417
3.110119047619048e-05;7;26;418
3.117559523809524e-05;7;27;419
3.125e-05;7;28;420
3.1324404761904766e-05;7;29;421
3.1398809523809525e-05;7;30;422
3.147321428571428e-05;7;31;423
3.154761904761905e-05;7;32;424
3.162202380952381e-05;7;33;425
3.169642857142857e-05;7;34;426
3.177083333333333e-05;7;35;427
3.1845238095238096e-05;7;36;428
3.1919642857142855e-05;7;37;429
3.199404761904762e-05;7;38;430
3.2068452380952385e-05;7;39;431
3.2142857142857144e-05;7;40;432
3.221726190476191e-05;7;41;433
3.229166666666667e-05;7;42;434
3.236607142857143e-05;7;43;435
3.244047619047619e-05;7;44;436
3.251488095238096e-05;7;45;437
3.2589285714285716e-05;7;46;438
3.266369047619048e-05;7;47;439
3.273809523809524e-05;7;48;440
3.2812500000000005e-05;7;49;441
3.288690476190476e-05;7;50;442
3.296130952380952e-05;7;51;443
3.303571428571429e-05;7;52;444
3.3110119047619046e-05;7;53;445
3.318452380952381e-05;7;54;446
3.325892857142857e-05;7;55;447
3.3333333333333335e-05;7;56;448
3.3407738095238093e-05;8;1;449
3.348214285714286e-05;8;2;450
3.355654761904762e-05;8;3;451
3.363095238095238e-05;8;4;452
3.370535714285715e-05;8;5;453
3.3779761904761907e-05;8;6;454
3.385416666666667e-05;8;7;455
3.392857142857143e-05;8;8;456
3.4002976190476196e-05;8;9;457
3.4077380952380954e-05;8;10;458
3.415178571428572e-05;8;11;459
3.422619047619048e-05;8;12;460
3.430059523809524e-05;8;13;461
3.4375e-05;8;14;462
3.444940476190476e-05;8;15;463
3.4523809523809526e-05;8;16;464
3.4598214285714284e-05;8;17;465
3.467261904761905e-05;8;18;466
