lr;epoch;iteration;global_iteration
5.274261603375527e-08;0;1;1
1.0548523206751054e-07;0;2;2
1.5822784810126582e-07;0;3;3
2.1097046413502108e-07;0;4;4
2.6371308016877637e-07;0;5;5
3.1645569620253163e-07;0;6;6
3.6919831223628695e-07;0;7;7
4.2194092827004216e-07;0;8;8
4.7468354430379753e-07;0;9;9
5.274261603375527e-07;0;10;10
5.801687763713081e-07;0;11;11
6.329113924050633e-07;0;12;12
6.856540084388186e-07;0;13;13
7.383966244725739e-07;0;14;14
7.911392405063292e-07;0;15;15
8.438818565400843e-07;0;16;16
8.966244725738397e-07;0;17;17
9.493670886075951e-07;0;18;18
1.0021097046413504e-06;0;19;19
1.0548523206751055e-06;0;20;20
1.1075949367088607e-06;0;21;21
1.1603375527426162e-06;0;22;22
1.2130801687763713e-06;0;23;23
1.2658227848101265e-06;0;24;24
1.318565400843882e-06;0;25;25
1.3713080168776373e-06;0;26;26
1.4240506329113925e-06;0;27;27
1.4767932489451478e-06;0;28;28
1.529535864978903e-06;0;29;29
1.5822784810126583e-06;0;30;30
1.6350210970464138e-06;0;31;31
1.6877637130801686e-06;0;32;32
1.7405063291139241e-06;0;33;33
1.7932489451476794e-06;0;34;34
1.8459915611814346e-06;0;35;35
1.8987341772151901e-06;0;36;36
1.9514767932489454e-06;0;37;37
2.004219409282701e-06;0;38;38
2.0569620253164555e-06;0;39;39
2.109704641350211e-06;0;40;40
2.1624472573839664e-06;0;41;41
2.2151898734177215e-06;0;42;42
2.267932489451477e-06;0;43;43
2.3206751054852324e-06;0;44;44
2.3734177215189875e-06;0;45;45
2.4261603375527425e-06;0;46;46
2.478902953586498e-06;0;47;47
2.531645569620253e-06;0;48;48
2.5843881856540085e-06;0;49;49
2.637130801687764e-06;0;50;50
2.689873417721519e-06;0;51;51
2.7426160337552745e-06;0;52;52
2.7953586497890296e-06;0;53;53
2.848101265822785e-06;0;54;54
2.90084388185654e-06;0;55;55
2.9535864978902956e-06;0;56;56
3.0063291139240506e-06;0;57;57
3.059071729957806e-06;0;58;58
3.1118143459915616e-06;0;59;59
3.1645569620253167e-06;0;60;60
3.217299578059072e-06;0;61;61
3.2700421940928276e-06;0;62;62
3.3227848101265822e-06;0;63;63
3.3755274261603373e-06;0;64;64
3.4282700421940928e-06;0;65;65
3.4810126582278482e-06;0;66;66
3.5337552742616033e-06;0;67;67
3.5864978902953588e-06;0;68;68
3.6392405063291142e-06;0;69;69
3.6919831223628693e-06;0;70;70
3.7447257383966248e-06;0;71;71
3.7974683544303802e-06;0;72;72
3.850210970464136e-06;0;73;73
3.902953586497891e-06;0;74;74
3.955696202531646e-06;0;75;75
4.008438818565402e-06;0;76;76
4.061181434599156e-06;0;77;77
4.113924050632911e-06;0;78;78
4.166666666666667e-06;0;79;79
